trace,ckpt,class,frames,cmd_orig,cmd_relabel,mean_realized,drift_vx,drift_vy,drift_yaw
data/traces/walk_v34_multi/1200/gentle_vxp020_vyn020_yawp000.npz,1200,clean,780,"[0.20000000298023224, -0.20000000298023224, 0.0]","[0.17526625096797943, -0.12330116331577301, 0.0]","[0.17526625096797943, -0.12330116331577301, -0.03634297102689743]",0.0,0.0,0.03634297102689743
data/traces/walk_v34_multi/1200/gentle_vxp020_vyp000_yawp000.npz,1200,clean,780,"[0.20000000298023224, 0.0, 0.0]","[0.16836336255073547, 0.0, 0.0]","[0.16836336255073547, -0.006473390851169825, 0.010682431980967522]",0.0,0.006473390851169825,0.010682431980967522
data/traces/walk_v34_multi/1200/gentle_vxp020_vyp000_yawp030.npz,1200,clean,780,"[0.20000000298023224, 0.0, 0.30000001192092896]","[0.16558656096458435, 0.0, 0.3295922577381134]","[0.16558656096458435, 0.010739997029304504, 0.3295922577381134]",0.0,0.010739997029304504,0.0
data/traces/walk_v34_multi/1200/vxp030_vyp000_yawn050.npz,1200,clean,780,"[0.30000001192092896, 0.0, -0.5]","[0.20949138700962067, 0.0, -0.5087635517120361]","[0.20949138700962067, -0.03297187387943268, -0.5087635517120361]",0.0,0.03297187387943268,0.0
data/traces/walk_v34_multi/1200/vxp030_vyp000_yawp000.npz,1200,clean,780,"[0.30000001192092896, 0.0, 0.0]","[0.22240467369556427, 0.0, 0.0]","[0.22240467369556427, -0.004492981359362602, 0.005998487118631601]",0.0,0.004492981359362602,0.005998487118631601
data/traces/walk_v34_multi/1200/vxp030_vyp000_yawp050.npz,1200,clean,780,"[0.30000001192092896, 0.0, 0.5]","[0.21357956528663635, 0.0, 0.515792191028595]","[0.21357956528663635, 0.023935500532388687, 0.515792191028595]",0.0,0.023935500532388687,0.0
data/traces/walk_v34_multi/1200/vxp050_vyp000_yawn050.npz,1200,clean,780,"[0.5, 0.0, -0.5]","[0.3103780746459961, 0.0, -0.4855401813983917]","[0.3103780746459961, -0.037523385137319565, -0.4855401813983917]",0.0,0.037523385137319565,0.0
data/traces/walk_v34_multi/1200/vxp050_vyp000_yawp000.npz,1200,clean,780,"[0.5, 0.0, 0.0]","[0.32583189010620117, 0.0, 0.0]","[0.32583189010620117, -0.008334558457136154, 0.017832467332482338]",0.0,0.008334558457136154,0.017832467332482338
data/traces/walk_v34_multi/1200/vxp050_vyp000_yawp050.npz,1200,clean,780,"[0.5, 0.0, 0.5]","[0.30750003457069397, 0.0, 0.48845911026000977]","[0.30750003457069397, 0.02897515892982483, 0.48845911026000977]",0.0,0.02897515892982483,0.0
data/traces/walk_v34_multi/1200/vxp070_vyp000_yawp000.npz,1200,clean,780,"[0.699999988079071, 0.0, 0.0]","[0.43159499764442444, 0.0, 0.0]","[0.43159499764442444, -0.009148907847702503, 0.017683034762740135]",0.0,0.009148907847702503,0.017683034762740135
data/traces/walk_v34_multi/2800/extra_vxp000_vyn015_yawp000.npz,2800,clean,780,"[0.0, -0.15000000596046448, 0.0]","[0.0, -0.12199684232473373, 0.0]","[0.04731369391083717, -0.12199684232473373, 0.0062279654666781425]",0.04731369391083717,0.0,0.0062279654666781425
data/traces/walk_v34_multi/2800/extra_vxp000_vyn015_yawp020.npz,2800,clean,780,"[0.0, -0.15000000596046448, 0.20000000298023224]","[0.0, -0.14858044683933258, 0.2783257067203522]","[0.042879730463027954, -0.14858044683933258, 0.2783257067203522]",0.042879730463027954,0.0,0.0
data/traces/walk_v34_multi/2800/extra_vxp000_vyn020_yawn030.npz,2800,clean,780,"[0.0, -0.20000000298023224, -0.30000001192092896]","[0.0, -0.12509045004844666, -0.44717133045196533]","[0.045271389186382294, -0.12509045004844666, -0.44717133045196533]",0.045271389186382294,0.0,0.0
data/traces/walk_v34_multi/2800/extra_vxp000_vyn020_yawp030.npz,2800,clean,780,"[0.0, -0.20000000298023224, 0.30000001192092896]","[0.0, -0.19921989738941193, 0.4132489562034607]","[0.03057517483830452, -0.19921989738941193, 0.4132489562034607]",0.03057517483830452,0.0,0.0
